Number,word,PoS,percentile freq,num letters,morph structure
1,axis,N ,"4,02",4,0-1-1
2,cuts,N/V,"4,42",4,0-1-1
3,dies,V,"4,41",4,0-1-1
4,easy,Adj,"5,29",4,0-1-1
5,into,Prep,"6,11",4,1-1-0
6,jury,N,"4,49",4,0-1-1
7,lets,V,"4,51",4,0-1-1
8,liar,N,"4,02",4,0-1-1
9,nary,Adj,"4,47",4,0-1-1
10,sexy,Adj,"4,42",4,0-1-1
11,torn,Adj,"4,08",4,0-1-1
12,unit,N,"4,95",4,0-1-1
13,user,N,"4,69",4,0-1-1
14,wins,V,"4,7",4,0-1-1
15,worn,V,"4,26",4,0-1-1
1,actor,N,"4,65",5,0-1-1
2,among,Prep,"5,31",5,1-1-0
3,bloody,Adj,"4,28",5,0-1-1
4,blues,N/Adj,"4,34",5,0-1-1
5,boats,N,"4,25",5,0-1-1
6,bones,N,"4,32",5,0-1-1
7,daily,Adj/Adv,"5,07",5,0-1-1
8,early,Adj/Adv,"5,43",5,0-1-1
9,enjoy,V,"5,09",5,1-1-0
10,flags,N/V,"4,09",5,0-1-1
11,rings,N,"4,33",5,0-1-1
12,hurts,V/N,"4,3",5,0-1-1
13,lived,V/Adj,"4,88",5,0-1-1
14,birds,N,"4,6",5,0-1-1
15,stars,N/V,"4,86",5,0-1-1
1,across,Prep,"5,25",6,1-1-0
2,brains,N,"4,07",6,0-1-1
3,deaths,N,"4,53",6,0-1-1
4,flames,N/V,"4,03",6,0-1-1
5,hearts,N,"4,44",6,0-1-1
6,hotels,N,"4,22",6,0-1-1
7,iconic,Adj,"4,13",6,0-1-1
8,planes,N,"4,16",6,0-1-1
9,rarely,Adv,"4,42",6,0-1-1
10,stones,N,"4,31",6,0-1-1
11,sunny,Adj,"4,07",6,0-1-1
12,trains,N/V,"4,27",6,0-1-1
13,helmet,N,"4,02",6,0-1-1
14,wounds,N/V,"4,07",6,0-1-1
15,writes,V,"4,36",6,0-1-1