,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf Frequency,Phonemes,No Stress,Part of Speech
0,solocomov,PLS,pseudo,long,simple,,9,,"['S', 'OW0', 'L', 'OW1', 'K', 'AH0', 'M', 'AO0', 'F']","['S', 'OW', 'L', 'OW', 'K', 'AH', 'M', 'AO', 'F']",
1,gostrient,PLS,pseudo,long,simple,,9,,"['G', 'AA1', 'S', 'T', 'R', 'IY0', 'EH0', 'N', 'T']","['G', 'AA', 'S', 'T', 'R', 'IY', 'EH', 'N', 'T']",
2,divestrate,PLS,pseudo,long,simple,,9,,"['D', 'IH1', 'V', 'EH0', 'S', 'T', 'R', 'EY2', 'T']","['D', 'IH', 'V', 'EH', 'S', 'T', 'R', 'EY', 'T']",
3,strusanad,PLS,pseudo,long,simple,,9,,"['S', 'T', 'R', 'UW1', 'S', 'AH0', 'N', 'AH0', 'D']","['S', 'T', 'R', 'UW', 'S', 'AH', 'N', 'AH', 'D']",
4,diuralim,PLS,pseudo,long,simple,,9,,"['D', 'AY0', 'Y', 'UH1', 'R', 'AH0', 'L', 'AH0', 'M']","['D', 'AY', 'Y', 'UH', 'R', 'AH', 'L', 'AH', 'M']",
5,speryborm,PLS,pseudo,long,simple,,9,,"['S', 'P', 'EH1', 'R', 'IY0', 'B', 'AO2', 'R', 'M']","['S', 'P', 'EH', 'R', 'IY', 'B', 'AO', 'R', 'M']",
6,inflegest,PLS,pseudo,long,simple,,9,,"['IH1', 'N', 'F', 'L', 'AH0', 'JH', 'EH0', 'S', 'T']","['IH', 'N', 'F', 'L', 'AH', 'JH', 'EH', 'S', 'T']",
7,balentina,PLS,pseudo,long,simple,,9,,"['B', 'AA0', 'L', 'EH0', 'N', 'T', 'IY1', 'N', 'AH0']","['B', 'AA', 'L', 'EH', 'N', 'T', 'IY', 'N', 'AH']",
8,cladwicheet,PLS,pseudo,long,simple,,9,,"['K', 'L', 'AE1', 'D', 'W', 'IH0', 'CH', 'IY2', 'T']","['K', 'L', 'AE', 'D', 'W', 'IH', 'CH', 'IY', 'T']",
9,websident,PLS,pseudo,long,simple,,9,,"['W', 'EH1', 'B', 'S', 'IH0', 'D', 'AH0', 'N', 'T']","['W', 'EH', 'B', 'S', 'IH', 'D', 'AH', 'N', 'T']",
10,livinisal,PLS,pseudo,long,simple,,9,,"['L', 'IH1', 'V', 'IH0', 'N', 'IH0', 'S', 'AH0', 'L']","['L', 'IH', 'V', 'IH', 'N', 'IH', 'S', 'AH', 'L']",
11,epirental,PLS,pseudo,long,simple,,9,,"['EH0', 'P', 'IH0', 'R', 'EH1', 'N', 'T', 'AH0', 'L']","['EH', 'P', 'IH', 'R', 'EH', 'N', 'T', 'AH', 'L']",
12,coallencite,PLS,pseudo,long,simple,,9,,"['K', 'OW0', 'AA1', 'L', 'EH0', 'N', 'S', 'AY0', 'T']","['K', 'OW', 'AA', 'L', 'EH', 'N', 'S', 'AY', 'T']",
13,notencest,PLS,pseudo,long,simple,,9,,"['N', 'OW1', 'T', 'AH0', 'N', 'S', 'AH0', 'S', 'T']","['N', 'OW', 'T', 'AH', 'N', 'S', 'AH', 'S', 'T']",
14,islaterdine,PLS,pseudo,long,simple,,9,,"['IH0', 'S', 'L', 'AA1', 'T', 'ER0', 'D', 'AY0', 'N']","['IH', 'S', 'L', 'AA', 'T', 'ER', 'D', 'AY', 'N']",
15,yesperest,PLS,pseudo,long,simple,,9,,"['Y', 'EH1', 'S', 'P', 'IH0', 'R', 'EH0', 'S', 'T']","['Y', 'EH', 'S', 'P', 'IH', 'R', 'EH', 'S', 'T']",
16,foldomence,PLS,pseudo,long,simple,,9,,"['F', 'OW1', 'L', 'D', 'AA0', 'M', 'AH0', 'N', 'S']","['F', 'OW', 'L', 'D', 'AA', 'M', 'AH', 'N', 'S']",
17,baventina,PLS,pseudo,long,simple,,9,,"['B', 'AA0', 'V', 'EH0', 'N', 'T', 'IY1', 'N', 'AH0']","['B', 'AA', 'V', 'EH', 'N', 'T', 'IY', 'N', 'AH']",
18,franciple,PLS,pseudo,long,simple,,9,,"['F', 'R', 'AE1', 'N', 'S', 'AH0', 'P', 'AH0', 'L']","['F', 'R', 'AE', 'N', 'S', 'AH', 'P', 'AH', 'L']",
19,vistormand,PLS,pseudo,long,simple,,9,,"['V', 'IH1', 'S', 'T', 'ER0', 'M', 'AE2', 'N', 'D']","['V', 'IH', 'S', 'T', 'ER', 'M', 'AE', 'N', 'D']",
20,mucipital,PLS,pseudo,long,simple,,9,,"['M', 'AH0', 'S', 'IH1', 'P', 'IH0', 'T', 'AH0', 'L']","['M', 'AH', 'S', 'IH', 'P', 'IH', 'T', 'AH', 'L']",
21,anclusent,PLS,pseudo,long,simple,,9,,"['AE1', 'N', 'K', 'L', 'UW0', 'S', 'EH2', 'N', 'T']","['AE', 'N', 'K', 'L', 'UW', 'S', 'EH', 'N', 'T']",
22,squistant,PLS,pseudo,long,simple,,9,,"['S', 'K', 'W', 'IH1', 'S', 'T', 'AH0', 'N', 'T']","['S', 'K', 'W', 'IH', 'S', 'T', 'AH', 'N', 'T']",
23,everialis,PLS,pseudo,long,simple,,9,,"['EH0', 'V', 'ER1', 'R', 'IY0', 'AH0', 'L', 'IH0', 'S']","['EH', 'V', 'ER', 'R', 'IY', 'AH', 'L', 'IH', 'S']",
24,alrelopal,PLS,pseudo,long,simple,,9,,"['AE2', 'L', 'R', 'EH0', 'L', 'AA1', 'P', 'AH0', 'L']","['AE', 'L', 'R', 'EH', 'L', 'AA', 'P', 'AH', 'L']",
25,storstent,PLS,pseudo,long,simple,,9,,"['S', 'T', 'AO1', 'R', 'S', 'T', 'AH0', 'N', 'T']","['S', 'T', 'AO', 'R', 'S', 'T', 'AH', 'N', 'T']",
26,trynkabel,PLS,pseudo,long,simple,,9,,"['T', 'R', 'IH1', 'N', 'K', 'AH0', 'B', 'EH0', 'L']","['T', 'R', 'IH', 'N', 'K', 'AH', 'B', 'EH', 'L']",
27,advantint,PLS,pseudo,long,simple,,9,,"['AE0', 'D', 'V', 'AE1', 'N', 'T', 'IH0', 'N', 'T']","['AE', 'D', 'V', 'AE', 'N', 'T', 'IH', 'N', 'T']",
28,honofecine,PLS,pseudo,long,simple,,9,,"['HH', 'OW0', 'N', 'OW1', 'F', 'AH0', 'S', 'IY2', 'N']","['HH', 'OW', 'N', 'OW', 'F', 'AH', 'S', 'IY', 'N']",
29,reasoduct,PLS,pseudo,long,simple,,9,,"['R', 'IY2', 'AH0', 'S', 'OW1', 'D', 'AH0', 'K', 'T']","['R', 'IY', 'AH', 'S', 'OW', 'D', 'AH', 'K', 'T']",
30,stogriture,PLS,pseudo,long,simple,,9,,"['S', 'T', 'OW1', 'G', 'R', 'IH0', 'CH', 'ER0', 'IY0']","['S', 'T', 'OW', 'G', 'R', 'IH', 'CH', 'ER', 'IY']",
31,sigrusachy,PLS,pseudo,long,simple,,9,,"['S', 'IY1', 'G', 'R', 'UW0', 'S', 'AH1', 'CH', 'IY0']","['S', 'IY', 'G', 'R', 'UW', 'S', 'AH', 'CH', 'IY']",
32,wisconsus,PLS,pseudo,long,simple,,9,,"['W', 'IH1', 'S', 'K', 'AH0', 'N', 'S', 'AH0', 'Z']","['W', 'IH', 'S', 'K', 'AH', 'N', 'S', 'AH', 'Z']",
33,innough,PSC,pseudo,short,complex,,3,,"['IH0', 'N', 'AW1']","['IH', 'N', 'AW']",
34,authed,PSC,pseudo,short,complex,,3,,"['AO1', 'TH', 'T']","['AO', 'TH', 'T']",
35,acooh,PSC,pseudo,short,complex,,3,,"['AH0', 'K', 'UW1']","['AH', 'K', 'UW']",
36,eitter,PSC,pseudo,short,complex,,3,,"['AY1', 'T', 'ER0']","['AY', 'T', 'ER']",
37,knowee,PSC,pseudo,short,complex,,3,,"['N', 'OW1', 'IY0']","['N', 'OW', 'IY']",
38,thitch,PSC,pseudo,short,complex,,3,,"['TH', 'IH1', 'CH']","['TH', 'IH', 'CH']",
39,whowi,PSC,pseudo,short,complex,,3,,"['HH', 'UW1', 'IY0']","['HH', 'UW', 'IY']",
40,weas,PSC,pseudo,short,complex,,3,,"['W', 'IY1', 'Z']","['W', 'IY', 'Z']",
41,emmed,PSC,pseudo,short,complex,,3,,"['EH1', 'M', 'D']","['EH', 'M', 'D']",
42,aggy,PSC,pseudo,short,complex,,3,,"['AE1', 'G', 'IY0']","['AE', 'G', 'IY']",
43,ipper,PSC,pseudo,short,complex,,3,,"['IH1', 'P', 'ER0']","['IH', 'P', 'ER']",
44,soer,PSC,pseudo,short,complex,,3,,"['S', 'AO1', 'R']","['S', 'AO', 'R']",
45,ealer,PSC,pseudo,short,complex,,3,,"['IY1', 'L', 'ER0']","['IY', 'L', 'ER']",
46,oddie,PSC,pseudo,short,complex,,3,,"['AA1', 'D', 'IY0']","['AA', 'D', 'IY']",
47,uppay,PSC,pseudo,short,complex,,3,,"['AH0', 'P', 'AY1']","['AH', 'P', 'AY']",
48,gews,PSC,pseudo,short,complex,,3,,"['G', 'UW1', 'Z']","['G', 'UW', 'Z']",
49,dees,PSC,pseudo,short,complex,,3,,"['D', 'IY1', 'Z']","['D', 'IY', 'Z']",
50,onth,PSC,pseudo,short,complex,,3,,"['AH1', 'N', 'TH']","['AH', 'N', 'TH']",
51,towy,PSC,pseudo,short,complex,,3,,"['T', 'OW1', 'IY0']","['T', 'OW', 'IY']",
52,eames,PSC,pseudo,short,complex,,3,,"['IY1', 'M', 'Z']","['IY', 'M', 'Z']",
53,earts,PSC,pseudo,short,complex,,3,,"['ER1', 'T', 'S']","['ER', 'T', 'S']",
54,attrow,PSC,pseudo,short,complex,,4,,"['AE1', 'T', 'R', 'OW0']","['AE', 'T', 'R', 'OW']",
55,apprew,PSC,pseudo,short,complex,,4,,"['AH0', 'P', 'R', 'UW1']","['AH', 'P', 'R', 'UW']",
56,ront,PSC,pseudo,short,complex,,4,,"['R', 'AA1', 'N', 'T']","['R', 'AA', 'N', 'T']",
57,assock,PSC,pseudo,short,complex,,4,,"['AE1', 'S', 'AH0', 'K']","['AE', 'S', 'AH', 'K']",
58,obsough,PSC,pseudo,short,complex,,4,,"['AA1', 'B', 'S', 'OW0']","['AA', 'B', 'S', 'OW']",
59,opty,PSC,pseudo,short,complex,,4,,"['AA1', 'P', 'T', 'IY0']","['AA', 'P', 'T', 'IY']",
60,ourain,PSC,pseudo,short,complex,,4,,"['AW0', 'R', 'EY1', 'N']","['AW', 'R', 'EY', 'N']",
61,thowtee,PSC,pseudo,short,complex,,4,,"['TH', 'AW1', 'T', 'IY0']","['TH', 'AW', 'T', 'IY']",
62,joro,PSC,pseudo,short,complex,,4,,"['JH', 'AO1', 'R', 'OW0']","['JH', 'AO', 'R', 'OW']",
63,temough,PSC,pseudo,short,complex,,4,,"['T', 'EH1', 'M', 'AW0']","['T', 'EH', 'M', 'AW']",
64,enfor,PSC,pseudo,short,complex,,4,,"['EH1', 'N', 'F', 'ER0']","['EH', 'N', 'F', 'ER']",
65,occone,PSC,pseudo,short,complex,,4,,"['AH0', 'K', 'OW1', 'N']","['AH', 'K', 'OW', 'N']",
66,weefer,PSC,pseudo,short,complex,,4,,"['W', 'IY1', 'F', 'ER0']","['W', 'IY', 'F', 'ER']",
67,uness,PSC,pseudo,short,complex,,4,,"['AH0', 'N', 'EH1', 'S']","['AH', 'N', 'EH', 'S']",
68,anyth,PSC,pseudo,short,complex,,4,,"['EH1', 'N', 'IY0', 'TH']","['EH', 'N', 'IY', 'TH']",
69,illume,PSC,pseudo,short,complex,,4,,"['IH0', 'L', 'UW1', 'M']","['IH', 'L', 'UW', 'M']",
70,itsear,PSC,pseudo,short,complex,,4,,"['IH0', 'T', 'S', 'ER0']","['IH', 'T', 'S', 'ER']",
71,buylow,PSC,pseudo,short,complex,,4,,"['B', 'AY1', 'L', 'OW2']","['B', 'AY', 'L', 'OW']",
72,edio,PSC,pseudo,short,complex,,4,,"['IY1', 'D', 'IY0', 'OW0']","['IY', 'D', 'IY', 'OW']",
73,showic,PSC,pseudo,short,complex,,4,,"['SH', 'OW1', 'IH0', 'K']","['SH', 'OW', 'IH', 'K']",
74,dommer,PSC,pseudo,short,complex,,4,,"['D', 'AA1', 'M', 'ER0']","['D', 'AA', 'M', 'ER']",
75,appore,PSC,pseudo,short,complex,,4,,"['AH0', 'P', 'AO1', 'R']","['AH', 'P', 'AO', 'R']",
76,leauter,PSC,pseudo,short,complex,,4,,"['L', 'UW1', 'T', 'ER0']","['L', 'UW', 'T', 'ER']",
77,neetched,PSC,pseudo,short,complex,,4,,"['N', 'IY1', 'CH', 'T']","['N', 'IY', 'CH', 'T']",
78,shoughty,PSC,pseudo,short,complex,,4,,"['SH', 'AW1', 'T', 'IY0']","['SH', 'AW', 'T', 'IY']",
79,givy,PSC,pseudo,short,complex,,4,,"['G', 'IY1', 'V', 'IY0']","['G', 'IY', 'V', 'IY']",
80,anym,PSC,pseudo,short,complex,,4,,"['AE1', 'N', 'IH0', 'M']","['AE', 'N', 'IH', 'M']",
81,outshase,PSC,pseudo,short,complex,,4,,"['AW1', 'CH', 'EY2', 'S']","['AW', 'CH', 'EY', 'S']",
82,eithing,PSC,pseudo,short,complex,,4,,"['AY1', 'DH', 'IH0', 'NG']","['AY', 'DH', 'IH', 'NG']",
83,unall,PSC,pseudo,short,complex,,4,,"['AH0', 'N', 'AE1', 'L']","['AH', 'N', 'AE', 'L']",
84,favy,PSC,pseudo,short,complex,,4,,"['F', 'EY1', 'V', 'IY0']","['F', 'EY', 'V', 'IY']",
85,wouther,PSC,pseudo,short,complex,,4,,"['W', 'AH1', 'DH', 'ER0']","['W', 'AH', 'DH', 'ER']",
86,joursed,PSC,pseudo,short,complex,,4,,"['JH', 'ER1', 'Z', 'D']","['JH', 'ER', 'Z', 'D']",
87,autching,PSC,pseudo,short,complex,,4,,"['AO1', 'CH', 'IH0', 'NG']","['AO', 'CH', 'IH', 'NG']",
88,perfer,PSC,pseudo,short,complex,,4,,"['P', 'ER1', 'F', 'ER0']","['P', 'ER', 'F', 'ER']",
89,anot,PSC,pseudo,short,complex,,4,,"['AH0', 'N', 'OW1', 'T']","['AH', 'N', 'OW', 'T']",
90,issort,PSC,pseudo,short,complex,,4,,"['IH1', 'S', 'ER0', 'T']","['IH', 'S', 'ER', 'T']",
91,alop,PSC,pseudo,short,complex,,4,,"['AE1', 'L', 'AH0', 'P']","['AE', 'L', 'AH', 'P']",
92,unerge,PSC,pseudo,short,complex,,4,,"['AH0', 'N', 'ER1', 'JH']","['AH', 'N', 'ER', 'JH']",
93,deller,PSC,pseudo,short,complex,,4,,"['D', 'EH1', 'L', 'ER0']","['D', 'EH', 'L', 'ER']",
94,enit,PSC,pseudo,short,complex,,4,,"['EH1', 'N', 'IH0', 'T']","['EH', 'N', 'IH', 'T']",
95,valo,PSC,pseudo,short,complex,,4,,"['V', 'AA1', 'L', 'OW0']","['V', 'AA', 'L', 'OW']",
96,defoo,PSC,pseudo,short,complex,,4,,"['D', 'EH1', 'F', 'UW0']","['D', 'EH', 'F', 'UW']",
97,jermer,PSC,pseudo,short,complex,,4,,"['JH', 'ER1', 'M', 'ER0']","['JH', 'ER', 'M', 'ER']",
98,irreed,PSC,pseudo,short,complex,,4,,"['IH0', 'R', 'IY1', 'D']","['IH', 'R', 'IY', 'D']",
99,paylow,PSC,pseudo,short,complex,,4,,"['P', 'EY1', 'L', 'OW2']","['P', 'EY', 'L', 'OW']",
100,octime,PSC,pseudo,short,complex,,5,,"['AA1', 'K', 'T', 'IY0', 'M']","['AA', 'K', 'T', 'IY', 'M']",
101,whomat,PSC,pseudo,short,complex,,5,,"['HH', 'OW1', 'M', 'AE2', 'T']","['HH', 'OW', 'M', 'AE', 'T']",
102,opist,PSC,pseudo,short,complex,,5,,"['OW1', 'P', 'IH0', 'S', 'T']","['OW', 'P', 'IH', 'S', 'T']",
103,govio,PSC,pseudo,short,complex,,5,,"['G', 'OW1', 'V', 'IY0', 'OW0']","['G', 'OW', 'V', 'IY', 'OW']",
104,bilway,PSC,pseudo,short,complex,,5,,"['B', 'IH1', 'L', 'W', 'EY2']","['B', 'IH', 'L', 'W', 'EY']",
105,ecorg,PSC,pseudo,short,complex,,5,,"['IY1', 'K', 'AO0', 'R', 'G']","['IY', 'K', 'AO', 'R', 'G']",
106,radice,PSC,pseudo,short,complex,,5,,"['R', 'AE1', 'D', 'IH0', 'S']","['R', 'AE', 'D', 'IH', 'S']",
107,soput,PSC,pseudo,short,complex,,5,,"['S', 'OW1', 'P', 'AH0', 'T']","['S', 'OW', 'P', 'AH', 'T']",
108,himem,PSC,pseudo,short,complex,,5,,"['HH', 'IH1', 'M', 'AH0', 'M']","['HH', 'IH', 'M', 'AH', 'M']",
109,sachno,PSC,pseudo,short,complex,,5,,"['S', 'AE1', 'K', 'N', 'OW0']","['S', 'AE', 'K', 'N', 'OW']",
110,uncrow,PSC,pseudo,short,complex,,5,,"['AH1', 'N', 'K', 'R', 'AW0']","['AH', 'N', 'K', 'R', 'AW']",
111,bulfor,PSC,pseudo,short,complex,,5,,"['B', 'UH1', 'L', 'F', 'ER0']","['B', 'UH', 'L', 'F', 'ER']",
112,nonver,PSC,pseudo,short,complex,,5,,"['N', 'AA1', 'N', 'V', 'ER0']","['N', 'AA', 'N', 'V', 'ER']",
113,defork,PSC,pseudo,short,complex,,5,,"['D', 'EH1', 'F', 'ER0', 'K']","['D', 'EH', 'F', 'ER', 'K']",
114,biomo,PSC,pseudo,short,complex,,5,,"['B', 'IY0', 'OW1', 'M', 'OW0']","['B', 'IY', 'OW', 'M', 'OW']",
115,advio,PSC,pseudo,short,complex,,5,,"['AE1', 'D', 'V', 'IY0', 'OW2']","['AE', 'D', 'V', 'IY', 'OW']",
116,mullboy,PSC,pseudo,short,complex,,5,,"['M', 'AH1', 'L', 'B', 'OY2']","['M', 'AH', 'L', 'B', 'OY']",
117,aggrat,PSC,pseudo,short,complex,,5,,"['AE1', 'G', 'R', 'AE0', 'T']","['AE', 'G', 'R', 'AE', 'T']",
118,befic,PSC,pseudo,short,complex,,5,,"['B', 'IH0', 'F', 'IH1', 'K']","['B', 'IH', 'F', 'IH', 'K']",
119,assasy,PSC,pseudo,short,complex,,5,,"['AH0', 'S', 'AA1', 'S', 'IY0']","['AH', 'S', 'AA', 'S', 'IY']",
120,anymed,PSC,pseudo,short,complex,,5,,"['AH0', 'N', 'IY1', 'M', 'D']","['AH', 'N', 'IY', 'M', 'D']",
121,invor,PSC,pseudo,short,complex,,5,,"['IH0', 'N', 'V', 'AO1', 'R']","['IH', 'N', 'V', 'AO', 'R']",
122,ferside,PSC,pseudo,short,complex,,5,,"['F', 'ER1', 'S', 'AY2', 'D']","['F', 'ER', 'S', 'AY', 'D']",
123,teetin,PSC,pseudo,short,complex,,5,,"['T', 'IY1', 'T', 'IH0', 'N']","['T', 'IY', 'T', 'IH', 'N']",
124,getert,PSC,pseudo,short,complex,,5,,"['G', 'EH1', 'T', 'ER0', 'T']","['G', 'EH', 'T', 'ER', 'T']",
125,recause,PSC,pseudo,short,complex,,5,,"['R', 'IY1', 'K', 'AW0', 'S']","['R', 'IY', 'K', 'AW', 'S']",
126,mushin,PSC,pseudo,short,complex,,5,,"['M', 'AH1', 'SH', 'IH0', 'N']","['M', 'AH', 'SH', 'IH', 'N']",
127,redwee,PSC,pseudo,short,complex,,5,,"['R', 'EH1', 'D', 'W', 'IY2']","['R', 'EH', 'D', 'W', 'IY']",
128,himby,PSC,pseudo,short,complex,,5,,"['HH', 'IH1', 'M', 'B', 'IY0']","['HH', 'IH', 'M', 'B', 'IY']",
129,eurown,PSC,pseudo,short,complex,,5,,"['Y', 'UW1', 'R', 'AW0', 'N']","['Y', 'UW', 'R', 'AW', 'N']",
130,mintai,PSC,pseudo,short,complex,,5,,"['M', 'IH0', 'N', 'T', 'AY1']","['M', 'IH', 'N', 'T', 'AY']",
131,pertat,PSC,pseudo,short,complex,,5,,"['P', 'ER1', 'T', 'AH0', 'T']","['P', 'ER', 'T', 'AH', 'T']",
132,perlic,PSC,pseudo,short,complex,,5,,"['P', 'ER1', 'L', 'IH0', 'K']","['P', 'ER', 'L', 'IH', 'K']",
133,cervided,PLC,pseudo,long,complex,,7,,"['S', 'ER1', 'V', 'AY1', 'D', 'AH0', 'D']","['S', 'ER', 'V', 'AY', 'D', 'AH', 'D']",
134,intipal,PLC,pseudo,long,complex,,7,,"['IH1', 'N', 'T', 'IH0', 'P', 'AH0', 'L']","['IH', 'N', 'T', 'IH', 'P', 'AH', 'L']",
135,pubsides,PLC,pseudo,long,complex,,7,,"['P', 'AH1', 'B', 'S', 'AY2', 'D', 'Z']","['P', 'AH', 'B', 'S', 'AY', 'D', 'Z']",
136,desocio,PLC,pseudo,long,complex,,7,,"['D', 'AH0', 'S', 'OW1', 'SH', 'IY0', 'OW0']","['D', 'AH', 'S', 'OW', 'SH', 'IY', 'OW']",
137,buitines,PLC,pseudo,long,complex,,7,,"['B', 'Y', 'UW1', 'T', 'IY2', 'N', 'Z']","['B', 'Y', 'UW', 'T', 'IY', 'N', 'Z']",
138,editral,PLC,pseudo,long,complex,,7,,"['EH1', 'D', 'AH0', 'T', 'R', 'AH0', 'L']","['EH', 'D', 'AH', 'T', 'R', 'AH', 'L']",
139,publity,PLC,pseudo,long,complex,,7,,"['P', 'AH1', 'B', 'L', 'IH0', 'T', 'IY0']","['P', 'AH', 'B', 'L', 'IH', 'T', 'IY']",
